GRABLOX  2.1 generated gravity data file
 
     5335  1  2  3  6  0
 
# columns: x, y, h, g comp, g base, g meas
 
   4.554000        4.638000       -.1000000         164.9934        34.06437        227.5288    
   22.76900        4.638000       -.1000000         167.7981        33.79853        214.1507    
   40.98400        4.638000       -.1000000         175.7960        33.53268        233.9418    
   59.19900        4.638000       -.1000000         182.7798        33.26685        246.4418    
   77.41400        4.638000       -.1000000         178.4759        33.00100        233.2064    
   95.62900        4.638000       -.1000000         164.3897        32.73516        224.4741    
   113.8440        4.638000       -.1000000         145.9434        32.46932        199.1744    
   132.0590        4.638000       -.1000000         126.4555        32.20348        179.3694    
   150.2740        4.638000       -.1000000         105.9937        31.93764        163.4756    
   168.4890        4.638000       -.1000000         84.68954        31.67179        138.0584    
   186.7040        4.638000       -.1000000         65.70096        31.40595        119.5621    
   204.9190        4.638000       -.1000000         52.42421        31.14011        106.7498    
   223.1340        4.638000       -.1000000         40.87949        30.87427        97.31688    
   241.3490        4.638000       -.1000000         28.52510        30.60843        77.55830    
   259.5640        4.638000       -.1000000         18.63603        30.34259        73.65685    
   277.7790        4.638000       -.1000000         12.97783        30.07675        55.76859    
   295.9940        4.638000       -.1000000         10.55128        29.81091        69.82676    
   314.2090        4.638000       -.1000000         5.623167        29.54506        54.32779    
   332.4240        4.638000       -.1000000        -2.320517        29.27922        49.40582    
   350.6390        4.638000       -.1000000        -14.48167        29.01338        58.23161    
   368.8540        4.638000       -.1000000        -17.97778        28.74754       -4.808636    
   387.0690        4.638000       -.1000000         4.172869        28.48170        74.41010    
   405.2840        4.638000       -.1000000         25.99458        28.21585        88.76764    
   423.4990        4.638000       -.1000000         24.34332        27.95001        76.03235    
   441.7140        4.638000       -.1000000         10.24407        27.68417        58.14344    
   459.9290        4.638000       -.1000000        -4.345339        27.41833        51.91979    
   478.1440        4.638000       -.1000000        -20.13235        27.15249        29.32992    
   496.3590        4.638000       -.1000000        -31.96014        26.88665        14.21714    
   514.5740        4.638000       -.1000000        -38.10961        26.62081        19.73408    
   532.7900        4.638000       -.1000000        -45.24241        26.35495        17.54157    
   551.0050        4.638000       -.1000000        -49.32299        26.08911       -10.52584    
   569.2200        4.638000       -.1000000        -38.39320        25.82327        11.45380    
   587.4350        4.638000       -.1000000        -24.37514        25.55742        31.04482    
   605.6500        4.638000       -.1000000        -19.53685        25.29158        32.43781    
   623.8650        4.638000       -.1000000        -20.98503        25.02574        27.36135    
   642.0800        4.638000       -.1000000        -19.77477        24.75990        27.69555    
   660.2950        4.638000       -.1000000        -12.29992        24.49406        36.09369    
   678.5100        4.638000       -.1000000        -.7108021        24.22822        53.28683    
   696.7250        4.638000       -.1000000         7.316776        23.96238        59.82298    
   714.9400        4.638000       -.1000000         9.612287        23.69653        61.66124    
   733.1550        4.638000       -.1000000         10.26349        23.43069        62.22832    
   751.3700        4.638000       -.1000000         10.45067        23.16485        64.81356    
   769.5850        4.638000       -.1000000         7.080168        22.89901        62.85263    
   787.8000        4.638000       -.1000000        -.2915955        22.63317        52.80868    
   806.0150        4.638000       -.1000000        -7.903191        22.36733        44.02705    
   824.2300        4.638000       -.1000000        -12.92749        22.10148        39.03958    
