longitude    latitude     depth_km        density_kgm3   
122.00000    -11.00000    1.215           1029.63        
122.08333    -11.00000    0.000           1029.64        
122.08333    -11.00000    1.297           1029.64        
122.16667    -11.00000    0.000           1029.02        
122.16667    -11.00000    1.030           1029.02        
122.25000    -11.00000    0.000           1029.02        
122.25000    -11.00000    1.030           1029.02        
122.33333    -11.00000    0.000           1028.05        
122.33333    -11.00000    0.800           1028.05        
122.41667    -11.00000    0.000           1026.84        
122.41667    -11.00000    0.476           1026.84        
122.50000    -11.00000    0.000           1026.84        
122.50000    -11.00000    0.476           1026.84        
122.58333    -11.00000    0.000           1026.34        
122.58333    -11.00000    0.384           1026.34        
122.66667    -11.00000    0.000           1024.62        
122.66667    -11.00000    0.162           1024.62        
122.75000    -11.00000    0.000           1024.62        
122.75000    -11.00000    0.162           1024.62        
122.83333    -11.00000    0.000           1023.31        
122.83333    -11.00000    0.066           1023.31        
122.91667    -11.00000    0.000           1024.33        
122.91667    -11.00000    0.114           1024.33        
123.00000    -11.00000    0.000           1024.33        
123.00000    -11.00000    0.114           1024.33        
123.08333    -11.00000    0.000           1025.66        
123.08333    -11.00000    0.270           1025.66        
123.16667    -11.00000    0.000           1029.33        
123.16667    -11.00000    1.127           1029.33        
123.25000    -11.00000    0.000           1029.33        
123.25000    -11.00000    1.127           1029.33        
123.33333    -11.00000    0.000           1030.51        
123.33333    -11.00000    1.566           1030.51        
123.41667    -11.00000    0.000           1031.88        
123.41667    -11.00000    1.037           1031.88        
123.41667    -11.00000    2.074           1031.88        
123.50000    -11.00000    0.000           1031.88        
123.50000    -11.00000    1.037           1031.88        
123.50000    -11.00000    2.074           1031.88        
123.58333    -11.00000    0.000           1032.14        
123.58333    -11.00000    1.073           1032.14        
123.58333    -11.00000    2.147           1032.14        
123.66667    -11.00000    0.000           1031.88        
123.66667    -11.00000    1.037           1031.88        
123.66667    -11.00000    2.074           1031.88        
123.75000    -11.00000    0.000           1031.88        
123.75000    -11.00000    1.037           1031.88        
123.75000    -11.00000    2.074           1031.88        
123.83333    -11.00000    0.000           1031.88        
123.83333    -11.00000    1.025           1031.88        
123.83333    -11.00000    2.049           1031.88        
123.91667    -11.00000    0.000           1031.34        
123.91667    -11.00000    1.861           1031.34        
124.00000    -11.00000    0.000           1031.34        
124.00000    -11.00000    1.861           1031.34        
124.08333    -11.00000    0.000           1031.06        
124.08333    -11.00000    1.701           1031.06        
124.16667    -11.00000    0.000           1030.21        
124.16667    -11.00000    1.418           1030.21        
124.25000    -11.00000    0.000           1030.21        
124.25000    -11.00000    1.418           1030.21        
124.33333    -11.00000    0.000           1029.63        
124.33333    -11.00000    1.243           1029.63        
124.41667    -11.00000    0.000           1028.71        
124.41667    -11.00000    0.978           1028.71        
124.50000    -11.00000    0.000           1028.71        
124.50000    -11.00000    0.978           1028.71        
124.58333    -11.00000    0.000           1028.38        
124.58333    -11.00000    0.854           1028.38        
124.66667    -11.00000    0.000           1027.67        
124.66667    -11.00000    0.657           1027.67        
124.75000    -11.00000    0.000           1027.67        
124.75000    -11.00000    0.657           1027.67        
124.83333    -11.00000    0.000           1027.67        
124.83333    -11.00000    0.671           1027.67        
124.91667    -11.00000    0.000           1027.65        
124.91667    -11.00000    0.615           1027.65        
125.00000    -11.00000    0.000           1027.65        
125.00000    -11.00000    0.615           1027.65        
125.08333    -11.00000    0.000           1027.65        
125.08333    -11.00000    0.626           1027.65        
125.16667    -11.00000    0.000           1027.64        
125.16667    -11.00000    0.601           1027.64        
125.25000    -11.00000    0.000           1027.64        
125.25000    -11.00000    0.601           1027.64        
125.33333    -11.00000    0.000           1027.27        
125.33333    -11.00000    0.559           1027.27        
125.41667    -11.00000    0.000           1026.81        
125.41667    -11.00000    0.424           1026.81        
125.50000    -11.00000    0.000           1026.81        
125.50000    -11.00000    0.424           1026.81        
125.58333    -11.00000    0.000           1026.33        
125.58333    -11.00000    0.374           1026.33        
125.66667    -11.00000    0.000           1024.83        
125.66667    -11.00000    0.200           1024.83        
125.75000    -11.00000    0.000           1024.83        
125.75000    -11.00000    0.200           1024.83        
125.83333    -11.00000    0.000           1024.76        
125.83333    -11.00000    0.187           1024.76        
125.91667    -11.00000    0.000           1024.53        
125.91667    -11.00000    0.146           1024.53        
126.00000    -11.00000    0.000           1024.53        
126.00000    -11.00000    0.146           1024.53        
126.08333    -11.00000    0.000           1024.30        
126.08333    -11.00000    0.109           1024.30        
126.16667    -11.00000    0.000           1024.29        
126.16667    -11.00000    0.107           1024.29        
126.25000    -11.00000    0.000           1024.29        
126.25000    -11.00000    0.107           1024.29        
126.33333    -11.00000    0.000           1023.64        
126.33333    -11.00000    0.099           1023.64        
126.41667    -11.00000    0.000           1023.64        
126.41667    -11.00000    0.098           1023.64        
126.50000    -11.00000    0.000           1023.64        
126.50000    -11.00000    0.098           1023.64        
126.58333    -11.00000    0.000           1023.49        
126.58333    -11.00000    0.084           1023.49        
126.66667    -11.00000    0.000           1023.47        
126.66667    -11.00000    0.082           1023.47        
126.75000    -11.00000    0.000           1023.47        
126.75000    -11.00000    0.082           1023.47        
126.83333    -11.00000    0.000           1023.46        
126.83333    -11.00000    0.081           1023.46        
126.91667    -11.00000    0.000           1023.50        
126.91667    -11.00000    0.085           1023.50        
127.00000    -11.00000    0.000           1023.50        
127.00000    -11.00000    0.085           1023.50        
127.08333    -11.00000    0.000           1023.46        
127.08333    -11.00000    0.081           1023.46        
127.16667    -11.00000    0.000           1023.50        
127.16667    -11.00000    0.085           1023.50        
127.25000    -11.00000    0.000           1023.50        
127.25000    -11.00000    0.085           1023.50        
127.33333    -11.00000    0.000           1023.40        
127.33333    -11.00000    0.076           1023.40        
127.41667    -11.00000    0.000           1023.52        
127.41667    -11.00000    0.087           1023.52        
127.50000    -11.00000    0.000           1023.52        
127.50000    -11.00000    0.087           1023.52        
127.58333    -11.00000    0.000           1023.47        
127.58333    -11.00000    0.082           1023.47        
127.66667    -11.00000    0.000           1024.30        
127.66667    -11.00000    0.109           1024.30        
127.75000    -11.00000    0.000           1024.30        
127.75000    -11.00000    0.109           1024.30        
127.83333    -11.00000    0.000           1023.59        
127.83333    -11.00000    0.094           1023.59        
127.91667    -11.00000    0.000           1024.50        
127.91667    -11.00000    0.142           1024.50        
128.00000    -11.00000    0.000           1024.50        
128.00000    -11.00000    0.142           1024.50        
128.08333    -11.00000    0.000           1024.49        
128.08333    -11.00000    0.140           1024.49        
128.16667    -11.00000    0.000           1023.63        
128.16667    -11.00000    0.097           1023.63        
128.25000    -11.00000    0.000           1023.63        
128.25000    -11.00000    0.097           1023.63        
128.33333    -11.00000    0.000           1024.26        
128.33333    -11.00000    0.102           1024.26        
128.41667    -11.00000    0.000           1023.44        
128.41667    -11.00000    0.079           1023.44        
128.50000    -11.00000    0.000           1023.44        
128.50000    -11.00000    0.079           1023.44        
128.58333    -11.00000    0.000           1023.24        
128.58333    -11.00000    0.058           1023.24        
128.66667    -11.00000    0.000           1023.02        
128.66667    -11.00000    0.035           1023.02        
128.75000    -11.00000    0.000           1023.02        
128.75000    -11.00000    0.035           1023.02        
128.83333    -11.00000    0.000           1023.12        
128.83333    -11.00000    0.046           1023.12        
128.91667    -11.00000    0.000           1023.12        
128.91667    -11.00000    0.046           1023.12        
129.00000    -11.00000    0.000           1023.12        
129.00000    -11.00000    0.046           1023.12        
129.08333    -11.00000    0.000           1023.13        
129.08333    -11.00000    0.047           1023.13        
129.16667    -11.00000    0.000           1023.15        
129.16667    -11.00000    0.049           1023.15        
129.25000    -11.00000    0.000           1023.15        
129.25000    -11.00000    0.049           1023.15        
129.33333    -11.00000    0.000           1022.98        
129.33333    -11.00000    0.031           1022.98        
129.41667    -11.00000    0.000           1023.39        
129.41667    -11.00000    0.074           1023.39        
129.50000    -11.00000    0.000           1023.39        
129.50000    -11.00000    0.074           1023.39        
129.58333    -11.00000    0.000           1023.23        
129.58333    -11.00000    0.058           1023.23        
129.66667    -11.00000    0.000           1023.43        
129.66667    -11.00000    0.078           1023.43        
129.75000    -11.00000    0.000           1023.43        
129.75000    -11.00000    0.078           1023.43        
129.83333    -11.00000    0.000           1023.48        
129.83333    -11.00000    0.083           1023.48        
129.91667    -11.00000    0.000           1023.40        
129.91667    -11.00000    0.075           1023.40        
130.00000    -11.00000    0.000           1023.40        
130.00000    -11.00000    0.075           1023.40        
130.08333    -11.00000    0.000           1023.34        
130.08333    -11.00000    0.069           1023.34        
130.16667    -11.00000    0.000           1023.22        
130.16667    -11.00000    0.057           1023.22        
130.25000    -11.00000    0.000           1023.22        
130.25000    -11.00000    0.057           1023.22        
130.33333    -11.00000    0.000           1023.17        
130.33333    -11.00000    0.052           1023.17        
130.41667    -11.00000    0.000           1023.15        
130.41667    -11.00000    0.050           1023.15        
130.50000    -11.00000    0.000           1023.15        
130.50000    -11.00000    0.050           1023.15        
130.58333    -11.00000    0.000           1023.16        
130.58333    -11.00000    0.050           1023.16        
130.66667    -11.00000    0.000           1023.11        
130.66667    -11.00000    0.045           1023.11        
130.75000    -11.00000    0.000           1023.11        
130.75000    -11.00000    0.045           1023.11        
130.83333    -11.00000    0.000           1023.09        
130.83333    -11.00000    0.043           1023.09        
130.91667    -11.00000    0.000           1023.07        
130.91667    -11.00000    0.041           1023.07        
131.00000    -11.00000    0.000           1023.07        
131.00000    -11.00000    0.041           1023.07        
131.08333    -11.00000    0.000           1023.09        
131.08333    -11.00000    0.042           1023.09        
131.16667    -11.00000    0.000           1023.14        
131.16667    -11.00000    0.048           1023.14        
131.25000    -11.00000    0.000           1023.14        
