longitude	latitude	depth
132.20833	-2.04167	0.00000
132.29167	-2.04167	0.00000
132.37500	-2.04167	0.00000
132.45833	-2.04167	0.00000
132.54167	-2.04167	0.00000
132.62500	-2.04167	0.00000
132.70833	-2.04167	0.00000
132.79167	-2.04167	0.00000
132.87500	-2.04167	0.00000
132.95833	-2.04167	0.00000
133.04167	-2.04167	0.00000
133.12500	-2.04167	0.00000
133.20833	-2.04167	0.00000
133.29167	-2.04167	0.00000
133.37500	-2.04167	0.00000
133.45833	-2.04167	0.00000
133.54167	-2.04167	0.00000
133.62500	-2.04167	0.00000
133.70833	-2.04167	0.00000
133.79167	-2.04167	0.00000
133.87500	-2.04167	0.00000
133.95833	-2.04167	0.00000
118.04167	-2.12500	2126.72900
118.12500	-2.12500	2196.23340
118.20833	-2.12500	2224.87915
118.29167	-2.12500	2246.32788
118.37500	-2.12500	2250.56299
118.45833	-2.12500	2204.63721
118.54167	-2.12500	1890.10767
118.62500	-2.12500	1785.84741
118.70833	-2.12500	1768.06116
118.79167	-2.12500	1702.45557
118.87500	-2.12500	1640.01135
118.95833	-2.12500	1578.32129
119.04167	-2.12500	1371.17493
119.12500	-2.12500	648.09155
119.20833	-2.12500	15.47834
119.29167	-2.12500	0.00000
119.37500	-2.12500	0.00000
119.45833	-2.12500	0.00000
119.54167	-2.12500	0.00000
119.62500	-2.12500	0.00000
119.70833	-2.12500	0.00000
119.79167	-2.12500	0.00000
119.87500	-2.12500	0.00000
119.95833	-2.12500	0.00000
120.04167	-2.12500	0.00000
120.12500	-2.12500	0.00000
120.20833	-2.12500	0.00000
120.29167	-2.12500	0.00000
120.37500	-2.12500	0.00000
120.45833	-2.12500	0.00000
120.54167	-2.12500	0.00000
120.62500	-2.12500	0.00000
120.70833	-2.12500	0.00000
120.79167	-2.12500	0.00000
120.87500	-2.12500	0.00000
120.95833	-2.12500	0.00000
121.04167	-2.12500	0.00000
121.12500	-2.12500	0.00000
121.20833	-2.12500	0.00000
121.29167	-2.12500	0.00000
121.37500	-2.12500	0.00000
121.45833	-2.12500	0.00000
121.54167	-2.12500	0.64939
121.62500	-2.12500	19.30805
121.70833	-2.12500	27.90434
121.79167	-2.12500	180.25191
