lon,lat,thickness
132.08333333333331,-11.0,1158.0
132.16666666666663,-11.0,1155.0
132.25,-11.0,1153.0
132.33333333333331,-11.0,1150.0
132.41666666666663,-11.0,1147.0
132.5,-11.0,1144.0
132.58333333333331,-11.0,1141.0
132.66666666666663,-11.0,1138.0
132.75,-11.0,1136.0
132.83333333333331,-11.0,1133.0
132.91666666666663,-11.0,1130.0
133.0,-11.0,1127.0
133.08333333333331,-11.0,1124.0
133.16666666666663,-11.0,1121.0
133.25,-11.0,1118.0
133.33333333333331,-11.0,1116.0
133.41666666666663,-11.0,1113.0
133.5,-11.0,1110.0
133.58333333333331,-11.0,1107.0
133.66666666666663,-11.0,1104.0
133.75,-11.0,1101.0
133.83333333333331,-11.0,1098.0
133.91666666666663,-11.0,1095.0
134.0,-11.0,1092.0
118.0,-10.916666666666671,479.0
118.08333333333331,-10.916666666666671,472.0
118.16666666666664,-10.916666666666671,470.0
118.25,-10.916666666666671,473.99997
118.33333333333331,-10.916666666666671,482.99997
118.41666666666664,-10.916666666666671,497.99997
118.5,-10.916666666666671,514.0
118.58333333333331,-10.916666666666671,534.0
118.66666666666664,-10.916666666666671,555.0
118.75,-10.916666666666671,576.0
118.83333333333331,-10.916666666666671,598.0
118.91666666666664,-10.916666666666671,619.0
119.0,-10.916666666666671,641.0
119.08333333333331,-10.916666666666671,662.0
119.16666666666664,-10.916666666666671,683.0
119.25,-10.916666666666671,701.0
119.33333333333331,-10.916666666666671,718.0
119.41666666666664,-10.916666666666671,734.0
119.5,-10.916666666666671,754.0
119.58333333333331,-10.916666666666671,776.0
119.66666666666664,-10.916666666666671,796.0
119.75,-10.916666666666671,815.0
119.83333333333331,-10.916666666666671,832.0
119.91666666666664,-10.916666666666671,847.0
120.0,-10.916666666666671,862.0
120.08333333333331,-10.916666666666671,876.0
120.16666666666664,-10.916666666666671,890.0
120.25,-10.916666666666671,903.0
120.33333333333331,-10.916666666666671,916.0
120.41666666666664,-10.916666666666671,929.0
120.5,-10.916666666666671,942.0
120.58333333333331,-10.916666666666671,954.0
120.66666666666664,-10.916666666666671,966.0
120.75,-10.916666666666671,979.0
120.83333333333331,-10.916666666666671,989.0
120.91666666666664,-10.916666666666671,1000.0
121.0,-10.916666666666671,1011.0
121.08333333333331,-10.916666666666671,1022.0
121.16666666666664,-10.916666666666671,1032.0
121.25,-10.916666666666671,1042.0
121.33333333333331,-10.916666666666671,1052.0
121.41666666666664,-10.916666666666671,1062.0
121.5,-10.916666666666671,1071.0
121.58333333333331,-10.916666666666671,1080.0
121.66666666666664,-10.916666666666671,1089.0
121.75,-10.916666666666671,1098.0
121.83333333333331,-10.916666666666671,1106.0
121.91666666666664,-10.916666666666671,1114.0
122.0,-10.916666666666671,1122.0
122.08333333333331,-10.916666666666671,1129.0
122.16666666666664,-10.916666666666671,1136.0
122.25,-10.916666666666671,1144.0
122.33333333333331,-10.916666666666671,1150.0
122.41666666666664,-10.916666666666671,1157.0
122.5,-10.916666666666671,1163.0
122.58333333333331,-10.916666666666671,1170.0
122.66666666666664,-10.916666666666671,1175.0
122.75,-10.916666666666671,1179.0
122.83333333333331,-10.916666666666671,1671.8551
122.91666666666664,-10.916666666666671,1192.0
123.0,-10.916666666666671,1197.0
123.08333333333331,-10.916666666666671,1203.0
123.16666666666664,-10.916666666666671,1208.0
123.25,-10.916666666666671,1212.0
123.33333333333331,-10.916666666666671,1216.0
123.41666666666664,-10.916666666666671,1220.0
123.5,-10.916666666666671,1224.0
123.58333333333331,-10.916666666666671,1228.0
123.66666666666664,-10.916666666666671,1232.0
123.75,-10.916666666666671,1236.0
123.83333333333331,-10.916666666666671,1239.0
123.91666666666664,-10.916666666666671,1242.0
124.0,-10.916666666666671,1245.0
124.08333333333331,-10.916666666666671,1248.0
124.16666666666664,-10.916666666666671,1251.0
124.25,-10.916666666666671,1254.0
124.33333333333331,-10.916666666666671,1256.0
124.41666666666664,-10.916666666666671,1258.0
124.5,-10.916666666666671,1261.0
124.58333333333331,-10.916666666666671,1263.0
124.66666666666664,-10.916666666666671,1265.0
124.75,-10.916666666666671,1266.0
124.83333333333331,-10.916666666666671,1268.0
124.91666666666664,-10.916666666666671,1270.0
125.0,-10.916666666666671,1271.0
125.08333333333331,-10.916666666666671,1273.0
125.16666666666664,-10.916666666666671,1274.0
125.25,-10.916666666666671,1275.0
125.33333333333331,-10.916666666666671,1276.0
125.41666666666664,-10.916666666666671,1277.0
125.5,-10.916666666666671,1278.0
125.58333333333331,-10.916666666666671,1279.0
125.66666666666664,-10.916666666666671,1279.0
125.75,-10.916666666666671,1280.0
125.83333333333331,-10.916666666666671,1280.0
125.91666666666664,-10.916666666666671,1281.0
126.0,-10.916666666666671,1281.0
126.08333333333331,-10.916666666666671,1281.0
126.16666666666664,-10.916666666666671,1281.0
126.25,-10.916666666666671,1281.0
126.33333333333331,-10.916666666666671,1281.0
126.41666666666664,-10.916666666666671,1281.0
126.5,-10.916666666666671,1281.0
126.58333333333331,-10.916666666666671,1281.0
126.66666666666664,-10.916666666666671,1280.0
126.75,-10.916666666666671,1280.0
126.83333333333331,-10.916666666666671,1279.0
126.91666666666664,-10.916666666666671,1279.0
127.0,-10.916666666666671,1278.0
127.08333333333331,-10.916666666666671,1278.0
127.16666666666664,-10.916666666666671,1277.0
127.25,-10.916666666666671,1276.0
127.33333333333331,-10.916666666666671,1275.0
127.41666666666664,-10.916666666666671,1274.0
127.5,-10.916666666666671,1273.0
127.58333333333331,-10.916666666666671,1272.0
127.66666666666664,-10.916666666666671,1271.0
127.75,-10.916666666666671,1270.0
127.83333333333331,-10.916666666666671,1269.0
127.91666666666664,-10.916666666666671,1267.0
128.0,-10.916666666666671,1266.0
128.08333333333331,-10.916666666666671,1265.0
128.16666666666663,-10.916666666666671,1263.0
128.25,-10.916666666666671,1262.0
128.33333333333331,-10.916666666666671,1260.0
128.41666666666663,-10.916666666666671,1259.0
128.5,-10.916666666666671,1257.0
128.58333333333331,-10.916666666666671,1255.0
128.66666666666663,-10.916666666666671,1254.0
128.75,-10.916666666666671,1252.0
128.83333333333331,-10.916666666666671,1250.0
128.91666666666663,-10.916666666666671,1248.0
129.0,-10.916666666666671,1246.0
129.08333333333331,-10.916666666666671,1244.0
129.16666666666663,-10.916666666666671,1242.0
129.25,-10.916666666666671,1240.0
129.33333333333331,-10.916666666666671,1238.0
129.41666666666663,-10.916666666666671,1236.0
129.5,-10.916666666666671,1234.0
129.58333333333331,-10.916666666666671,1232.0
129.66666666666663,-10.916666666666671,1230.0
129.75,-10.916666666666671,1228.0
129.83333333333331,-10.916666666666671,1226.0
129.91666666666663,-10.916666666666671,1224.0
130.0,-10.916666666666671,1221.0
130.08333333333331,-10.916666666666671,1219.0
130.16666666666663,-10.916666666666671,1217.0
130.25,-10.916666666666671,1214.0
130.33333333333331,-10.916666666666671,1212.0
130.41666666666663,-10.916666666666671,1210.0
130.5,-10.916666666666671,1207.0
130.58333333333331,-10.916666666666671,1205.0
130.66666666666663,-10.916666666666671,1202.0
130.75,-10.916666666666671,1200.0
130.83333333333331,-10.916666666666671,1197.0
130.91666666666663,-10.916666666666671,1195.0
131.0,-10.916666666666671,1192.0
131.08333333333331,-10.916666666666671,1190.0
131.16666666666663,-10.916666666666671,1187.0
131.25,-10.916666666666671,1184.0
131.33333333333331,-10.916666666666671,1182.0
131.41666666666663,-10.916666666666671,1179.0
131.5,-10.916666666666671,1177.0
131.58333333333331,-10.916666666666671,1174.0
131.66666666666663,-10.916666666666671,1171.0
131.75,-10.916666666666671,1169.0
131.83333333333331,-10.916666666666671,1166.0
131.91666666666663,-10.916666666666671,1163.0
132.0,-10.916666666666671,1160.0
132.08333333333331,-10.916666666666671,1158.0
132.16666666666663,-10.916666666666671,1155.0
132.25,-10.916666666666671,1152.0
132.33333333333331,-10.916666666666671,1149.0
132.41666666666663,-10.916666666666671,1146.0
132.5,-10.916666666666671,1144.0
132.58333333333331,-10.916666666666671,1141.0
132.66666666666663,-10.916666666666671,1138.0
132.75,-10.916666666666671,1135.0
132.83333333333331,-10.916666666666671,1132.0
132.91666666666663,-10.916666666666671,1129.0
133.0,-10.916666666666671,1126.0
133.08333333333331,-10.916666666666671,1123.0
133.16666666666663,-10.916666666666671,1120.0
133.25,-10.916666666666671,1118.0
133.33333333333331,-10.916666666666671,1115.0
133.41666666666663,-10.916666666666671,1112.0
133.5,-10.916666666666671,1109.0
133.58333333333331,-10.916666666666671,1106.0
133.66666666666663,-10.916666666666671,1103.0
133.75,-10.916666666666671,1100.0
133.83333333333331,-10.916666666666671,1097.0
133.91666666666663,-10.916666666666671,1094.0
134.0,-10.916666666666671,1091.0
118.0,-10.833333333333345,490.0
118.08333333333331,-10.833333333333345,485.0
118.16666666666664,-10.833333333333345,481.00003
118.25,-10.833333333333345,481.00003
118.33333333333331,-10.833333333333345,485.0
118.41666666666664,-10.833333333333345,494.0
118.5,-10.833333333333345,511.0
118.58333333333331,-10.833333333333345,532.0
118.66666666666664,-10.833333333333345,554.0
118.75,-10.833333333333345,578.0
118.83333333333331,-10.833333333333345,601.0
118.91666666666664,-10.833333333333345,625.0
119.0,-10.833333333333345,649.0
119.08333333333331,-10.833333333333345,675.0
119.16666666666664,-10.833333333333345,701.0
119.25,-10.833333333333345,723.0
119.33333333333331,-10.833333333333345,741.0
119.41666666666664,-10.833333333333345,756.0
119.5,-10.833333333333345,772.0
119.58333333333331,-10.833333333333345,790.0
119.66666666666664,-10.833333333333345,808.0
119.75,-10.833333333333345,825.0
119.83333333333331,-10.833333333333345,841.0
119.91666666666664,-10.833333333333345,856.0
120.0,-10.833333333333345,871.0
120.08333333333331,-10.833333333333345,885.0
120.16666666666664,-10.833333333333345,899.0
120.25,-10.833333333333345,912.0
120.33333333333331,-10.833333333333345,925.0
120.41666666666664,-10.833333333333345,938.0
120.5,-10.833333333333345,950.0
120.58333333333331,-10.833333333333345,962.0
120.66666666666664,-10.833333333333345,975.0
120.75,-10.833333333333345,986.0
120.83333333333331,-10.833333333333345,997.0
120.91666666666664,-10.833333333333345,1008.0
121.0,-10.833333333333345,1019.0
121.08333333333331,-10.833333333333345,1030.0
121.16666666666664,-10.833333333333345,1040.0
121.25,-10.833333333333345,1050.0
121.33333333333331,-10.833333333333345,1060.0
121.41666666666664,-10.833333333333345,1069.0
121.5,-10.833333333333345,1078.0
121.58333333333331,-10.833333333333345,1087.0
121.66666666666664,-10.833333333333345,1096.0
121.75,-10.833333333333345,1104.0
121.83333333333331,-10.833333333333345,1112.0
121.91666666666664,-10.833333333333345,1120.0
122.0,-10.833333333333345,1128.0
122.08333333333331,-10.833333333333345,1136.0
122.16666666666664,-10.833333333333345,1143.0
122.25,-10.833333333333345,1150.0
122.33333333333331,-10.833333333333345,1156.0
122.41666666666664,-10.833333333333345,1163.0
122.5,-10.833333333333345,1169.0
122.58333333333331,-10.833333333333345,1175.0
122.66666666666664,-10.833333333333345,1181.0
122.75,-10.833333333333345,1185.0
123.25,-10.833333333333345,1217.0
123.33333333333331,-10.833333333333345,1221.0
123.41666666666664,-10.833333333333345,1225.0
123.5,-10.833333333333345,1229.0
123.58333333333331,-10.833333333333345,1233.0
123.66666666666664,-10.833333333333345,1237.0
123.75,-10.833333333333345,1240.0
123.83333333333331,-10.833333333333345,1244.0
123.91666666666664,-10.833333333333345,1247.0
124.0,-10.833333333333345,1250.0
124.08333333333331,-10.833333333333345,1253.0
124.16666666666664,-10.833333333333345,1255.0
124.25,-10.833333333333345,1258.0
124.33333333333331,-10.833333333333345,1260.0
124.41666666666664,-10.833333333333345,1263.0
124.5,-10.833333333333345,1265.0
124.58333333333331,-10.833333333333345,1267.0
124.66666666666664,-10.833333333333345,1269.0
124.75,-10.833333333333345,1270.0
124.83333333333331,-10.833333333333345,1272.0
124.91666666666664,-10.833333333333345,1274.0
125.0,-10.833333333333345,1275.0
125.08333333333331,-10.833333333333345,1276.0
125.16666666666664,-10.833333333333345,1278.0
125.25,-10.833333333333345,1279.0
125.33333333333331,-10.833333333333345,1280.0
125.41666666666664,-10.833333333333345,1281.0
125.5,-10.833333333333345,1281.0
125.58333333333331,-10.833333333333345,1282.0
125.66666666666664,-10.833333333333345,1283.0
125.75,-10.833333333333345,1283.0
125.83333333333331,-10.833333333333345,1284.0
125.91666666666664,-10.833333333333345,1284.0
126.0,-10.833333333333345,1284.0
126.08333333333331,-10.833333333333345,1284.0
126.16666666666664,-10.833333333333345,1284.0
126.25,-10.833333333333345,1284.0
126.33333333333331,-10.833333333333345,1284.0
126.41666666666664,-10.833333333333345,1284.0
126.5,-10.833333333333345,1284.0
126.58333333333331,-10.833333333333345,1284.0
126.66666666666664,-10.833333333333345,1283.0
126.75,-10.833333333333345,1282.0
126.83333333333331,-10.833333333333345,1282.0
126.91666666666664,-10.833333333333345,1281.0
127.0,-10.833333333333345,1281.0
127.08333333333331,-10.833333333333345,1280.0
127.16666666666664,-10.833333333333345,1279.0
127.25,-10.833333333333345,1278.0
127.33333333333331,-10.833333333333345,1277.0
127.41666666666664,-10.833333333333345,1276.0
127.5,-10.833333333333345,1275.0
127.58333333333331,-10.833333333333345,1274.0
127.66666666666664,-10.833333333333345,1273.0
127.75,-10.833333333333345,1272.0
127.83333333333331,-10.833333333333345,1270.0
127.91666666666664,-10.833333333333345,1269.0
128.0,-10.833333333333345,1268.0
