lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
127.375,-2.0417,18.1152,-2791.73,-191.99208820775877,210.10728820775876
127.4583,-2.0417,22.9251,-2574.3,-177.03905201191859,199.9641520119186
127.5417,-2.0417,12.8616,-2858.75,-196.60116922622547,209.46276922622548
127.625,-2.0417,-17.4153,-3041.91,-209.19739840173062,191.78209840173062
127.7083,-2.0417,-36.0781,-3191.99,-219.51865890981,183.44055890981
127.7917,-2.0417,-63.2702,-3673.45,-252.62949369272508,189.3592936927251
127.875,-2.0417,-80.6581,-3937.4,-270.7817905417893,190.1236905417893
127.9583,-2.0417,-98.7381,-3893.7,-267.7764661534426,169.03836615344258
128.0417,-2.0417,-119.3516,-3948.6,-271.5520338632877,152.20043386328769
128.125,-2.0417,-128.8215,-3873.66,-266.3982807817614,137.5767807817614
128.2083,-2.0417,-134.4365,-3765.4,-258.9530538187772,124.51655381877723
128.2917,-2.0417,-123.1977,-3719.23,-255.77786326935006,132.58016326935007
128.375,-2.0417,-115.6893,-3505.98,-241.1122928845691,125.42299288456908
128.4583,-2.0417,-106.5182,-3386.6,-232.90232433809712,126.38412433809712
128.5417,-2.0417,-89.9974,-3103.88,-213.45918220827167,123.46178220827167
128.625,-2.0417,-54.1378,-2730.42,-187.77569373980603,133.63789373980603
128.7083,-2.0417,-20.6657,-1982.22,-136.3206889947035,115.65498899470349
128.7917,-2.0417,19.0425,-1247.69,-85.80579373217988,104.84829373217988
128.875,-2.0417,39.0515,-712.15,-48.97578405402937,88.02728405402937
128.9583,-2.0417,39.5367,-827.44,-56.904476244704156,96.44117624470417
129.0417,-2.0417,41.2937,-729.84,-50.192355871646136,91.48605587164613
129.125,-2.0417,47.6621,-623.68,-42.89154953144286,90.55364953144286
129.2083,-2.0417,48.1487,-634.36,-43.626031555871755,91.77473155587175
129.2917,-2.0417,53.5957,-627.44,-43.150131217945926,96.74583121794592
129.375,-2.0417,68.6477,-227.33,-15.633876274664743,84.28157627466474
129.4583,-2.0417,67.0789,-338.94,-23.30948851684717,90.38838851684717
129.5417,-2.0417,80.5401,-274.15,-18.85376844542884,99.39386844542884
129.625,-2.0417,82.4703,-108.23,-7.4431638112302165,89.91346381123022
129.7083,-2.0417,74.8124,-122.48,-8.42316089438674,83.23556089438674
129.7917,-2.0417,65.8213,-90.59,-6.2300305798701405,72.05133057987014
129.875,-2.0417,59.0725,-100.6,-6.91843554845939,65.99093554845939
129.9583,-2.0417,78.345,-66.12,-4.547186465846271,82.89218646584627
130.0417,-2.0417,77.5329,-19.91,-1.3692450474137818,78.90214504741378
130.2917,-2.0417,94.4101,-4.2,-0.28884124556192287,94.69894124556193
130.375,-2.0417,75.0288,-1.74,-0.1196628017327966,75.1484628017328
130.4583,-2.0417,64.1259,-9.91,-0.6815277960758703,64.80742779607587
130.5417,-2.0417,65.3428,-44.41,-3.054152313191665,68.39695231319166
130.625,-2.0417,55.7199,-27.13,-1.865776902879754,57.585676902879754
130.7083,-2.0417,55.9447,-46.71,-3.212327280999385,59.15702728099938
130.7917,-2.0417,57.2248,-58.75,-4.04033885161023,61.26513885161023
130.875,-2.0417,52.6741,-55.74,-3.8333359589575187,56.50743595895752
130.9583,-2.0417,45.3301,-57.58,-3.959875933203694,49.28997593320369
131.0417,-2.0417,38.9031,-57.57,-3.9591882159523566,42.86228821595236
131.125,-2.0417,39.4401,-56.04,-3.853967476497656,43.29406747649766
131.2083,-2.0417,45.2118,-52.22,-3.5912594864865737,48.80305948648657
131.2917,-2.0417,50.03,-42.48,-2.921422883683448,52.95142288368345
131.375,-2.0417,53.4306,-53.66,-3.690290770679233,57.12089077067923
131.4583,-2.0417,54.2373,-47.41,-3.2604674885930383,57.497767488593034
131.5417,-2.0417,57.4463,-26.17,-1.7997560467513145,59.24605604675131
131.625,-2.0417,61.6371,-28.16,-1.9366117797675588,63.57371177976756
131.7083,-2.0417,64.7768,-22.88,-1.5734970710611416,66.35029707106114
131.7917,-2.0417,62.3825,-14.74,-1.0136952284720815,63.39619522847208
131.875,-2.0417,57.8033,-9.96,-0.6849663823325599,58.48826638233256
131.9583,-2.0417,55.2159,-5.77,-0.3968128540219749,55.61271285402197
118.0417,-2.125,-36.2214,-2126.73,-146.25889099378765,110.03749099378764
118.125,-2.125,-40.6558,-2196.23,-151.03852589058613,110.38272589058613
118.2083,-2.125,-40.4103,-2224.88,-153.00883581566927,112.59853581566927
118.2917,-2.125,-37.5985,-2246.33,-154.48398931978906,116.88548931978906
118.375,-2.125,-34.0259,-2250.56,-154.77489371710502,120.74899371710501
118.4583,-2.125,-25.0199,-2204.64,-151.61689609896132,126.59699609896131
118.5417,-2.125,-7.4146,-1890.11,-129.98612539263,122.57152539262998
118.625,-2.125,-3.0341,-1785.85,-122.81598533018092,119.78188533018093
118.7083,-2.125,-6.6315,-1768.06,-121.59253634005078,114.96103634005078
