Longitude,Latitude,Gravity_mGal,Normal_Gravity_mGal,Height_m,KoreksigF,DeltaGF_mGal,KoreksigB,DeltaGB_mGal
118.0417,-8.9583,978202.6667,978156.5597,-3.27,-1.0091219999999999,45.097877999959955,-0.3661213749820837,45.46399937494204
118.0417,-8.875,978202.6667,978156.5597,-3.27,-1.0091219999999999,45.097877999959955,-0.3661213749820837,45.46399937494204
118.0417,-8.7917,978212.0833,978154.2709,268.24,82.778864,140.59126400005346,30.033149120854475,110.55811487919898
118.0417,-8.7083,978224.9,978149.7556,114.25,35.257549999999995,110.40194999999012,12.791855379725707,97.61009462026442
118.0417,-8.625,978224.9,978149.7556,-3.25,-1.00295,74.14144999999013,-0.3638821005173615,74.50533210050749
118.0417,-8.5417,978239.0833,978147.5292,-3.25,-1.00295,90.55115000006668,-0.3638821005173615,90.91503210058404
118.0417,-8.4583,978185.1833,978143.139,-3.25,-1.00295,41.04135000006687,-0.3638821005173615,41.40523210058423
118.0417,-8.375,978185.1833,978143.139,561.49,173.275814,215.32011400006687,62.866510959844085,152.4536030402228
118.0417,-8.2917,978047.9,978140.9752,1518.45,468.59367,375.51847000003704,170.01131554787307,205.50715445216397
118.0417,-8.2083,978073.4333,978136.7104,2019.57,623.239302,559.9622020000515,226.1185765359531,333.8436254640984
118.0417,-8.125,978073.4333,978136.7104,307.73,94.965478,31.6883780000516,34.4545965514485,-2.7662185513969035
118.0417,-8.0417,978153.0167,978134.6094,-3.21,-0.990606,17.416694000078977,-0.359403551587917,17.776097551666894
118.125,-8.9583,978202.6667,978156.5597,-3.28,-1.012208,45.09479199995995,-0.3672410122144448,45.462033012174395
118.125,-8.875,978202.6667,978156.5597,26.18,8.079148,54.18614799995996,2.9312102743213915,51.25493772563856
118.125,-8.7917,978212.0833,978154.2709,374.91,115.697226,173.50962600005346,41.976319478450456,131.533306521603
118.125,-8.7083,978224.9,978149.7556,412.69,127.356134,202.50053399999013,46.206308942310734,156.2942250576794
118.125,-8.625,978224.9,978149.7556,-3.26,-1.006036,74.13836399999013,-0.36500173774972255,74.50336573773986
118.125,-8.5417,978239.0833,978147.5292,-3.26,-1.006036,90.54806400006669,-0.36500173774972255,90.91306573781641
118.125,-8.4583,978185.1833,978143.139,60.38,18.633268,60.67756800006687,6.760369608996395,53.91719839107047
118.125,-8.375,978185.1833,978143.139,413.62,127.643132,169.68743200006685,46.310435204920324,123.37699679514652
118.125,-8.2917,978047.9,978140.9752,574.55,177.30612999999997,84.23093000003703,64.3287571853077,19.90217281472934
118.125,-8.2083,978073.4333,978136.7104,391.13,120.70271799999999,57.425618000051585,43.79237106934018,13.633246930711408
118.125,-8.125,978073.4333,978136.7104,-3.96,-1.222056,-64.4991559999484,-0.4433763440150004,-64.05577965593339
118.125,-8.0417,978153.0167,978134.6094,-3.23,-0.9967779999999999,17.410522000078977,-0.3616428260526392,17.772164826131615
118.2083,-8.9583,978198.0167,978156.5597,-3.29,-1.015294,40.44170600005309,-0.3683606494468059,40.810066649499895
118.2083,-8.875,978198.0167,978156.5597,-3.29,-1.015294,40.44170600005309,-0.3683606494468059,40.810066649499895
118.2083,-8.7917,978142.5833,978154.2709,371.23,114.561578,102.87397800005346,41.564292976941566,61.30968502311189
118.2083,-8.7083,978240.2,978149.7556,316.18,97.573148,188.01754799992028,35.400690012793646,152.61685798712665
118.2083,-8.625,978246.8667,978147.5292,-3.27,-1.0091219999999999,98.32837800002328,-0.3661213749820837,98.69449937500536
118.2083,-8.5417,978246.8667,978147.5292,19.65,6.0639899999999995,105.40149000002329,2.200087161589585,103.20140283843371
