GRABLOX  2.1 generated gravity data file
 
     5335  1  2  3  4  0
 
# columns: x, y, h, g meas
 
   4.554000        4.638000       -.1000000         227.5288    
   22.76900        4.638000       -.1000000         214.1507    
   40.98400        4.638000       -.1000000         233.9418    
   59.19900        4.638000       -.1000000         246.4418    
   77.41400        4.638000       -.1000000         233.2064    
   95.62900        4.638000       -.1000000         224.4741    
   113.8440        4.638000       -.1000000         199.1744    
   132.0590        4.638000       -.1000000         179.3694    
   150.2740        4.638000       -.1000000         163.4756    
   168.4890        4.638000       -.1000000         138.0584    
   186.7040        4.638000       -.1000000         119.5621    
   204.9190        4.638000       -.1000000         106.7498    
   223.1340        4.638000       -.1000000         97.31688    
   241.3490        4.638000       -.1000000         77.55830    
   259.5640        4.638000       -.1000000         73.65685    
   277.7790        4.638000       -.1000000         55.76859    
   295.9940        4.638000       -.1000000         69.82676    
   314.2090        4.638000       -.1000000         54.32779    
   332.4240        4.638000       -.1000000         49.40582    
   350.6390        4.638000       -.1000000         58.23161    
   368.8540        4.638000       -.1000000        -4.808636    
   387.0690        4.638000       -.1000000         74.41010    
   405.2840        4.638000       -.1000000         88.76764    
   423.4990        4.638000       -.1000000         76.03235    
   441.7140        4.638000       -.1000000         58.14344    
   459.9290        4.638000       -.1000000         51.91979    
   478.1440        4.638000       -.1000000         29.32992    
   496.3590        4.638000       -.1000000         14.21714    
   514.5740        4.638000       -.1000000         19.73408    
   532.7900        4.638000       -.1000000         17.54157    
   551.0050        4.638000       -.1000000        -10.52584    
   569.2200        4.638000       -.1000000         11.45380    
   587.4350        4.638000       -.1000000         31.04482    
   605.6500        4.638000       -.1000000         32.43781    
   623.8650        4.638000       -.1000000         27.36135    
   642.0800        4.638000       -.1000000         27.69555    
   660.2950        4.638000       -.1000000         36.09369    
   678.5100        4.638000       -.1000000         53.28683    
   696.7250        4.638000       -.1000000         59.82298    
   714.9400        4.638000       -.1000000         61.66124    
   733.1550        4.638000       -.1000000         62.22832    
   751.3700        4.638000       -.1000000         64.81356    
   769.5850        4.638000       -.1000000         62.85263    
   787.8000        4.638000       -.1000000         52.80868    
   806.0150        4.638000       -.1000000         44.02705    
   824.2300        4.638000       -.1000000         39.03958    
   842.4450        4.638000       -.1000000         39.08323    
   860.6600        4.638000       -.1000000         42.88388    
   878.8750        4.638000       -.1000000         49.60397    
   897.0900        4.638000       -.1000000         53.14383    
   915.3050        4.638000       -.1000000         57.76934    
   933.5200        4.638000       -.1000000         64.15822    
   951.7350        4.638000       -.1000000         64.34151    
   969.9500        4.638000       -.1000000         64.32153    
   988.1650        4.638000       -.1000000         66.19873    
   1006.380        4.638000       -.1000000         69.50117    
   1024.595        4.638000       -.1000000         73.64848    
   1042.810        4.638000       -.1000000         75.77383    
   1061.025        4.638000       -.1000000         76.79906    
   1079.240        4.638000       -.1000000         74.88818    
   1097.455        4.638000       -.1000000         61.52768    
   1115.670        4.638000       -.1000000         62.06948    
   1133.885        4.638000       -.1000000         55.93201    
   1152.100        4.638000       -.1000000         51.22746    
   1170.315        4.638000       -.1000000         43.96270    
   1188.530        4.638000       -.1000000         47.41279    
   1206.745        4.638000       -.1000000         44.79288    
   1224.960        4.638000       -.1000000         37.90231    
   1243.176        4.638000       -.1000000         37.42313    
   1261.391        4.638000       -.1000000         40.20032    
   1279.606        4.638000       -.1000000         45.13647    
   1297.821        4.638000       -.1000000         52.58711    
   1316.036        4.638000       -.1000000         54.45021    
   1334.251        4.638000       -.1000000         57.70678    
   1352.466        4.638000       -.1000000         45.89043    
   1370.681        4.638000       -.1000000         50.39741    
   1388.896        4.638000       -.1000000         46.19543    
   1407.111        4.638000       -.1000000         52.49143    
   1425.326        4.638000       -.1000000         46.01394    
   1443.541        4.638000       -.1000000         38.79860    
   1461.756        4.638000       -.1000000         45.51369    
   1479.971        4.638000       -.1000000         52.23883    
   1498.186        4.638000       -.1000000         69.19486    
   1516.401        4.638000       -.1000000         59.92556    
   1534.616        4.638000       -.1000000         45.15215    
   1552.831        4.638000       -.1000000         53.02403    
   1571.046        4.638000       -.1000000         53.66859    
   1589.261        4.638000       -.1000000         57.58867    
   1607.476        4.638000       -.1000000         59.48588    
   1625.691        4.638000       -.1000000         83.09435    
   1643.906        4.638000       -.1000000         82.10985    
   1662.121        4.638000       -.1000000         75.68510    
   1680.336        4.638000       -.1000000         59.88055    
   1698.551        4.638000       -.1000000         42.24456    
   1716.766        4.638000       -.1000000         38.70029    
   1734.981        4.638000       -.1000000         29.98895    
   1753.196        4.638000       -.1000000         29.98895    
   4.556000        23.19200       -.1000000         217.4171    
   22.78200        23.19200       -.1000000         209.3221    
   41.00700        23.19200       -.1000000         218.0730    
   59.23200        23.19200       -.1000000         224.3174    
   77.45700        23.19200       -.1000000         215.6095    
   95.68200        23.19200       -.1000000         201.0972    
   113.9080        23.19200       -.1000000         182.3985    
   132.1330        23.19200       -.1000000         162.1769    
   150.3580        23.19200       -.1000000         130.9960    
   168.5830        23.19200       -.1000000         126.4534    
   186.8080        23.19200       -.1000000         116.2495    
   205.0340        23.19200       -.1000000         104.0194    
   223.2590        23.19200       -.1000000         91.65908    
   241.4840        23.19200       -.1000000         73.57126    
   259.7090        23.19200       -.1000000         63.08597    
   277.9340        23.19200       -.1000000         56.46437    
   296.1600        23.19200       -.1000000         60.01093    
   314.3850        23.19200       -.1000000         45.22477    
   332.6100        23.19200       -.1000000         48.94918    
   350.8350        23.19200       -.1000000         42.05895    
   369.0600        23.19200       -.1000000         40.66730    
   387.2860        23.19200       -.1000000         57.89332    
   405.5110        23.19200       -.1000000         67.87587    
   423.7360        23.19200       -.1000000         67.52086    
   441.9610        23.19200       -.1000000         53.78309    
   460.1870        23.19200       -.1000000         36.23036    
   478.4120        23.19200       -.1000000         24.74591    
   496.6370        23.19200       -.1000000         7.261152    
   514.8620        23.19200       -.1000000        -17.57095    
   533.0870        23.19200       -.1000000        -9.331510    
   551.3130        23.19200       -.1000000        -9.323523    
   569.5380        23.19200       -.1000000         49.93393    
   587.7630        23.19200       -.1000000         16.92533    
   605.9880        23.19200       -.1000000         16.88363    
   624.2130        23.19200       -.1000000         8.601710    
   642.4390        23.19200       -.1000000         16.50187    
